absence possibility,Social drinker,has pet,has child,Social smoker,Pet,ID,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Distance from Residence to Work,Hit target,Disciplinary failure,Education,Child number,BMI
0.9,1,1,1,0,1,11,7,3,1,289,36,13,33,239554,97,0,1,2,30
0.7,1,0,1,0,0,36,7,3,1,118,13,18,50,239554,97,1,1,1,31
0.3,1,0,0,0,0,3,7,4,1,179,51,18,38,239554,97,0,1,0,31
0.8,1,0,1,1,0,7,7,5,1,279,5,14,39,239554,97,0,1,2,24
0.9,1,1,1,0,1,11,7,5,1,289,36,13,33,239554,97,0,1,2,30
0.3,1,0,0,0,0,3,7,6,1,179,51,18,38,239554,97,0,1,0,31
0.9,1,1,1,0,4,10,7,6,1,361,52,3,28,239554,97,0,1,1,27
0.7,1,0,1,0,0,20,7,6,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,14,7,2,1,155,12,14,34,239554,97,0,1,2,25
0.6,0,1,1,0,1,1,7,2,1,235,11,14,37,239554,97,0,3,1,29
0.7,1,0,1,0,0,20,7,2,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,20,7,3,1,260,50,11,36,239554,97,0,1,4,23
0.7,1,0,1,0,0,20,7,4,1,260,50,11,36,239554,97,0,1,4,23
0.3,1,0,0,0,0,3,7,4,1,179,51,18,38,239554,97,0,1,0,31
0.3,1,0,0,0,0,24,7,6,1,246,25,16,41,239554,97,0,1,0,23
0.3,1,0,0,0,0,3,7,2,1,179,51,18,38,239554,97,0,1,0,31
0.6,0,1,1,0,2,6,7,5,1,189,29,13,33,239554,97,0,1,2,25
0.6,0,1,1,0,1,33,8,4,1,248,25,14,47,205917,92,0,1,2,32
0,0,0,0,0,0,18,8,4,1,330,16,4,28,205917,92,0,2,0,25
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.7,1,0,1,0,0,20,8,6,1,260,50,11,36,205917,92,0,1,4,23
0.9,1,1,1,0,1,11,8,2,1,289,36,13,33,205917,92,0,1,2,30
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.9,1,1,1,0,1,11,8,3,1,289,36,13,33,205917,92,0,1,2,30
0.4,1,0,0,1,0,30,8,4,1,157,27,6,29,205917,92,0,1,0,22
0.9,1,1,1,0,1,11,8,4,1,289,36,13,33,205917,92,0,1,2,30
0.3,1,0,0,0,0,3,8,6,1,179,51,18,38,205917,92,0,1,0,31
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.7,0,1,1,1,5,2,8,5,1,235,29,12,48,205917,92,0,1,1,33
0.6,0,1,1,0,1,1,8,5,1,235,11,14,37,205917,92,0,3,1,29
0.7,0,1,1,1,5,2,8,2,1,235,29,12,48,205917,92,0,1,1,33
0.3,1,0,0,0,0,3,8,2,1,179,51,18,38,205917,92,0,1,0,31
0.9,1,1,1,0,4,10,8,2,1,361,52,3,28,205917,92,0,1,1,27
0.9,1,1,1,0,1,11,8,3,1,289,36,13,33,205917,92,0,1,2,30
0.3,1,0,0,0,0,19,8,5,1,291,50,12,32,205917,92,0,1,0,23
0.7,0,1,1,1,5,2,8,6,1,235,29,12,48,205917,92,0,1,1,33
0.7,1,0,1,0,0,20,8,6,1,260,50,11,36,205917,92,0,1,4,23
0,0,0,0,0,0,27,9,3,2,184,42,7,27,241476,92,0,1,0,21
0,0,0,0,0,0,34,9,2,2,118,10,10,37,241476,92,0,1,0,28
0.3,1,0,0,0,0,3,9,3,2,179,51,18,38,241476,92,0,1,0,31
0.7,1,0,1,0,0,5,9,3,2,235,20,13,43,241476,92,0,1,1,38
0.7,1,0,1,0,0,14,9,4,2,155,12,14,34,241476,92,0,1,2,25
